county,fips,county_seat,est,population,area_sq_mi,median_fam_inc,lon,lat,geo_code_twitter,mean_score_county
Allen County,20001,Iola KS,1855,13319,503,51855,-95.3999814,37.9244799,"37.9244799,-95.3999814,10mi",0.23
Anderson County,20003,Garnett KS,1855,7917,583,47018,-95.2419192,38.2805772,"38.2805772,-95.2419192,10mi",0.24
Atchison County,20005,Atchison KS,1855,16813,432,52908,-95.1216356,39.5630521,"39.5630521,-95.1216356,10mi",0.47
Barber County,20007,Medicine Lodge KS,1867,4861,1134,48836,-98.580361,37.2811339,"37.2811339,-98.580361,10mi",0.266666667
Barton County,20009,Great Bend KS,1867,27557,894,51780,-98.7648073,38.3644567,"38.3644567,-98.7648073,10mi",-0.09
Bourbon County,20011,Fort Scott KS,1855,14897,637,48003,-94.7082951,37.8397626,"37.8397626,-94.7082951,10mi",0.25
Brown County,20013,Hiawatha KS,1855,9881,571,46646,-95.5358156,39.8525033,"39.8525033,-95.5358156,10mi",0.48
Butler County,20015,El Dorado KS,1855,65827,1428,66581,-96.8622524,37.81724,"37.81724,-96.8622524,10mi",0.28
Chase County,20017,Cottonwood Falls KS,1859,2757,776,54554,-96.5427845,38.3722364,"38.3722364,-96.5427845,10mi",0.216216216
Chautauqua County,20019,Sedan KS,1875,3571,642,49043,-96.1869361,37.1267196,"37.1267196,-96.1869361,10mi",1.2
Cherokee County,20021,Columbus KS,1855,21226,587,48319,-94.8441239,37.1692278,"37.1692278,-94.8441239,10mi",1.56122449
Cheyenne County,20023,Saint Francis KS,1873,2678,1020,47386,-101.8009427,39.7741861,"39.7741861,-101.8009427,10mi",0.333333333
Clark County,20025,Ashland KS,1885,2181,975,60865,-99.7656834,37.1886376,"37.1886376,-99.7656834,10mi",0.105263158
Clay County,20027,Clay Center KS,1857,8531,644,56146,-97.1247428,39.3769407,"39.3769407,-97.1247428,10mi",0.54
Cloud County,20029,Concordia KS,1866,9397,716,44679,-97.6625396,39.5708354,"39.5708354,-97.6625396,10mi",0.3
Coffey County,20031,Burlington KS,1855,8502,630,57261,-95.7427641,38.1944667,"38.1944667,-95.7427641,10mi",0.131578947
Comanche County,20033,Coldwater KS,1867,1913,788,50938,-99.3267808,37.2689131,"37.2689131,-99.3267808,10mi",0.380952381
Cowley County,20035,Winfield KS,1867,36288,1126,51655,-96.9955918,37.2397486,"37.2397486,-96.9955918,10mi",0.02
Crawford County,20037,Girard KS,1867,39361,593,49297,-94.8380215,37.5111596,"37.5111596,-94.8380215,10mi",-0.09
Decatur County,20039,Oberlin KS,1873,2871,894,44338,-100.528201,39.8183384,"39.8183384,-100.528201,10mi",0.26984127
Dickinson County,20041,Abilene KS,1857,19762,848,56779,-97.2139094,38.9172216,"38.9172216,-97.2139094,10mi",0.37
Doniphan County,20043,Troy KS,1855,7864,392,53226,-95.0924081,39.7888604,"39.7888604,-95.0924081,10mi",0.28
Douglas County,20045,Lawrence KS,1855,112864,457,68282,-95.2352501,38.9716689,"38.9716689,-95.2352501,10mi",0.346938776
Edwards County,20047,Kinsley KS,1874,2979,622,50128,-99.4098384,37.9230724,"37.9230724,-99.4098384,10mi",0.166666667
Elk County,20049,Howard KS,1875,2720,648,40463,-96.2636066,37.4703117,"37.4703117,-96.2636066,10mi",-0.421052632
Ellis County,20051,Hays KS,1867,29053,900,62176,-99.3267702,38.8791783,"38.8791783,-99.3267702,10mi",0.03
Ellsworth County,20053,Ellsworth KS,1867,6494,716,54071,-98.2281126,38.7305648,"38.7305648,-98.2281126,10mi",0.11
Finney County,20055,Garden City KS,1883,37200,1300,56747,-100.8726618,37.9716898,"37.9716898,-100.8726618,10mi",0.1
Ford County,20057,Dodge City KS,1867,34752,1099,52211,-100.0170787,37.7527982,"37.7527982,-100.0170787,10mi",0.04
Franklin County,20059,Ottawa KS,1855,25906,574,58941,-95.2686366,38.615768,"38.615768,-95.2686366,10mi",0.37
Geary County,20061,Junction City KS,1855,38013,384,50195,-96.8313978,39.0286093,"39.0286093,-96.8313978,10mi",0.040816327
